assignee,completion_date,estimated_completion_date,task_priority,sub_task,remain_sub_task_level,actual_duration,start_date,total_assign_task
Alice,2025-04-07 16:45:13.444213,2025-04-05 16:45:13.444213,very low,4 pending subtasks,low,12,2025-03-26 16:45:13.444213,17
Bob,2025-03-18 16:45:13.444213,2025-03-18 16:45:13.444213,high,3 pending subtasks,high,3,2025-03-15 16:45:13.444213,17
Bob,2025-04-28 16:45:13.444213,2025-04-27 16:45:13.444213,low,1 pending subtasks,very high,7,2025-04-21 16:45:13.444213,17
Eve,2025-05-05 16:45:13.444213,2025-05-04 16:45:13.444213,very low,4 pending subtasks,very low,14,2025-04-21 16:45:13.444213,13
Grace,2025-04-19 16:45:13.444213,2025-04-19 16:45:13.444213,high,1 pending subtasks,high,6,2025-04-13 16:45:13.444213,3
Frank,2025-04-18 16:45:13.444213,2025-04-18 16:45:13.444213,very low,3 pending subtasks,low,13,2025-04-05 16:45:13.444213,20
Frank,2025-03-29 16:45:13.444213,2025-03-28 16:45:13.444213,very high,3 pending subtasks,very high,6,2025-03-23 16:45:13.444213,15
Grace,2025-05-16 16:45:13.444213,2025-05-14 16:45:13.444213,very low,2 pending subtasks,very high,11,2025-05-05 16:45:13.444213,14
Heidi,2025-04-18 16:45:13.444213,2025-04-18 16:45:13.444213,high,4 pending subtasks,medium,2,2025-04-16 16:45:13.444213,13
Grace,2025-05-06 16:45:13.444213,2025-05-07 16:45:13.444213,medium,3 pending subtasks,high,14,2025-04-22 16:45:13.444213,9
Frank,2025-04-22 16:45:13.444213,2025-04-24 16:45:13.444213,high,1 pending subtasks,very low,12,2025-04-10 16:45:13.444213,3
Bob,2025-03-28 16:45:13.444213,2025-03-27 16:45:13.444213,medium,5 pending subtasks,low,1,2025-03-27 16:45:13.444213,2
Frank,2025-05-20 16:45:13.444213,2025-05-20 16:45:13.444213,high,4 pending subtasks,medium,12,2025-05-08 16:45:13.444213,2
Eve,2025-03-29 16:45:13.444213,2025-03-29 16:45:13.444213,medium,5 pending subtasks,very low,3,2025-03-26 16:45:13.444213,17
David,2025-05-12 16:45:13.444213,2025-05-11 16:45:13.444213,high,1 pending subtasks,low,3,2025-05-09 16:45:13.444213,12
Frank,2025-03-26 16:45:13.444213,2025-03-25 16:45:13.444213,medium,2 pending subtasks,very high,1,2025-03-25 16:45:13.444213,14
Alice,2025-04-11 16:45:13.444213,2025-04-11 16:45:13.444213,medium,2 pending subtasks,very low,12,2025-03-30 16:45:13.444213,9
Eve,2025-04-26 16:45:13.444213,2025-04-28 16:45:13.444213,medium,2 pending subtasks,very low,13,2025-04-13 16:45:13.444213,5
Grace,2025-04-02 16:45:13.444213,2025-04-01 16:45:13.444213,very low,5 pending subtasks,very low,5,2025-03-28 16:45:13.444213,7
Grace,2025-05-10 16:45:13.445214,2025-05-09 16:45:13.445214,medium,3 pending subtasks,low,3,2025-05-07 16:45:13.445214,10
Frank,2025-03-23 16:45:13.445214,2025-03-23 16:45:13.445214,very high,1 pending subtasks,very high,9,2025-03-14 16:45:13.445214,2
Charlie,2025-04-14 16:45:13.445214,2025-04-12 16:45:13.445214,very high,1 pending subtasks,very low,8,2025-04-06 16:45:13.445214,9
Heidi,2025-04-15 16:45:13.445214,2025-04-15 16:45:13.445214,high,4 pending subtasks,very high,1,2025-04-14 16:45:13.445214,14
Eve,2025-04-02 16:45:13.445214,2025-04-01 16:45:13.445214,very high,3 pending subtasks,very low,5,2025-03-28 16:45:13.445214,14
Bob,2025-04-15 16:45:13.445214,2025-04-14 16:45:13.445214,very high,5 pending subtasks,high,3,2025-04-12 16:45:13.445214,10
Alice,2025-03-15 16:45:13.445214,2025-03-14 16:45:13.445214,very high,1 pending subtasks,very low,1,2025-03-14 16:45:13.445214,7
Eve,2025-04-04 16:45:13.445214,2025-04-06 16:45:13.445214,low,3 pending subtasks,medium,13,2025-03-22 16:45:13.445214,11
Bob,2025-04-29 16:45:13.445214,2025-04-27 16:45:13.445214,high,2 pending subtasks,low,7,2025-04-22 16:45:13.445214,13
David,2025-04-13 16:45:13.445214,2025-04-13 16:45:13.445214,medium,4 pending subtasks,very low,3,2025-04-10 16:45:13.445214,2
Grace,2025-05-04 16:45:13.445214,2025-05-02 16:45:13.445214,very low,5 pending subtasks,medium,9,2025-04-25 16:45:13.445214,14
Grace,2025-04-07 16:45:13.445214,2025-04-07 16:45:13.445214,high,1 pending subtasks,medium,6,2025-04-01 16:45:13.445214,13
Alice,2025-03-19 16:45:13.445214,2025-03-19 16:45:13.445214,low,4 pending subtasks,very high,3,2025-03-16 16:45:13.445214,12
Bob,2025-04-17 16:45:13.445214,2025-04-16 16:45:13.445214,very low,4 pending subtasks,low,14,2025-04-03 16:45:13.445214,19
Grace,2025-04-21 16:45:13.445214,2025-04-21 16:45:13.445214,high,3 pending subtasks,medium,2,2025-04-19 16:45:13.445214,8
Frank,2025-04-17 16:45:13.445214,2025-04-17 16:45:13.445214,very low,1 pending subtasks,very high,6,2025-04-11 16:45:13.445214,17
David,2025-04-22 16:45:13.445214,2025-04-22 16:45:13.445214,medium,2 pending subtasks,medium,2,2025-04-20 16:45:13.445214,8
Bob,2025-04-26 16:45:13.445214,2025-04-24 16:45:13.445214,low,5 pending subtasks,low,10,2025-04-16 16:45:13.445214,5
Bob,2025-05-21 16:45:13.445214,2025-05-19 16:45:13.445214,high,5 pending subtasks,high,10,2025-05-11 16:45:13.445214,19
Heidi,2025-05-04 16:45:13.445214,2025-05-04 16:45:13.445214,very high,3 pending subtasks,very high,8,2025-04-26 16:45:13.445214,11
Charlie,2025-04-19 16:45:13.445214,2025-04-18 16:45:13.445214,high,3 pending subtasks,high,9,2025-04-10 16:45:13.445214,9
Alice,2025-04-06 16:45:13.445214,2025-04-05 16:45:13.445214,very low,4 pending subtasks,medium,6,2025-03-31 16:45:13.445214,15
Alice,2025-04-02 16:45:13.445214,2025-03-31 16:45:13.445214,medium,1 pending subtasks,very low,7,2025-03-26 16:45:13.445214,20
Grace,2025-04-24 16:45:13.445214,2025-04-23 16:45:13.445214,very high,4 pending subtasks,very low,10,2025-04-14 16:45:13.445214,19
David,2025-03-29 16:45:13.445214,2025-03-28 16:45:13.445214,high,2 pending subtasks,very high,10,2025-03-19 16:45:13.445214,2
Heidi,2025-04-10 16:45:13.445214,2025-04-09 16:45:13.445214,medium,5 pending subtasks,very low,2,2025-04-08 16:45:13.445214,6
Alice,2025-04-26 16:45:13.445214,2025-04-25 16:45:13.445214,high,5 pending subtasks,high,8,2025-04-18 16:45:13.445214,17
Charlie,2025-05-12 16:45:13.445214,2025-05-11 16:45:13.445214,medium,4 pending subtasks,high,12,2025-04-30 16:45:13.445214,11
Alice,2025-03-23 16:45:13.445214,2025-03-23 16:45:13.445214,medium,3 pending subtasks,very low,7,2025-03-16 16:45:13.445214,4
Grace,2025-03-21 16:45:13.445214,2025-03-20 16:45:13.445214,very high,3 pending subtasks,low,4,2025-03-17 16:45:13.445214,3
Charlie,2025-04-02 16:45:13.445214,2025-04-02 16:45:13.445214,medium,2 pending subtasks,high,4,2025-03-29 16:45:13.445214,20
Bob,2025-05-20 16:45:13.445214,2025-05-19 16:45:13.445214,high,2 pending subtasks,medium,8,2025-05-12 16:45:13.445214,17
Bob,2025-04-11 16:45:13.445214,2025-04-11 16:45:13.445214,high,3 pending subtasks,very high,14,2025-03-28 16:45:13.445214,1
Frank,2025-05-04 16:45:13.445214,2025-05-03 16:45:13.445214,low,4 pending subtasks,medium,3,2025-05-01 16:45:13.445214,7
David,2025-05-02 16:45:13.445214,2025-05-04 16:45:13.445214,low,3 pending subtasks,very low,12,2025-04-20 16:45:13.445214,4
Alice,2025-04-11 16:45:13.445214,2025-04-11 16:45:13.445214,very high,5 pending subtasks,low,2,2025-04-09 16:45:13.445214,13
Charlie,2025-04-18 16:45:13.445214,2025-04-17 16:45:13.445214,very high,4 pending subtasks,low,7,2025-04-11 16:45:13.445214,2
Grace,2025-04-24 16:45:13.446214,2025-04-23 16:45:13.446214,low,5 pending subtasks,high,3,2025-04-21 16:45:13.446214,10
Heidi,2025-04-28 16:45:13.446214,2025-04-26 16:45:13.446214,low,4 pending subtasks,medium,10,2025-04-18 16:45:13.446214,7
Frank,2025-05-01 16:45:13.446214,2025-05-01 16:45:13.446214,very high,4 pending subtasks,high,10,2025-04-21 16:45:13.446214,10
Grace,2025-03-22 16:45:13.446214,2025-03-22 16:45:13.446214,high,2 pending subtasks,low,6,2025-03-16 16:45:13.446214,20
Charlie,2025-03-29 16:45:13.446214,2025-03-29 16:45:13.446214,very low,3 pending subtasks,high,4,2025-03-25 16:45:13.446214,18
Bob,2025-04-07 16:45:13.446214,2025-04-07 16:45:13.446214,very high,3 pending subtasks,very low,6,2025-04-01 16:45:13.446214,3
Charlie,2025-05-04 16:45:13.446214,2025-05-03 16:45:13.446214,very high,4 pending subtasks,low,6,2025-04-28 16:45:13.446214,3
David,2025-04-12 16:45:13.446214,2025-04-13 16:45:13.446214,medium,4 pending subtasks,very low,12,2025-03-31 16:45:13.446214,2
Grace,2025-04-07 16:45:13.446214,2025-04-07 16:45:13.446214,low,1 pending subtasks,high,1,2025-04-06 16:45:13.446214,12
David,2025-05-10 16:45:13.446214,2025-05-09 16:45:13.446214,very low,2 pending subtasks,medium,5,2025-05-05 16:45:13.446214,5
Alice,2025-03-26 16:45:13.446214,2025-03-24 16:45:13.446214,high,4 pending subtasks,low,12,2025-03-14 16:45:13.446214,15
Alice,2025-04-04 16:45:13.446214,2025-04-04 16:45:13.446214,very low,2 pending subtasks,medium,5,2025-03-30 16:45:13.446214,5
Grace,2025-04-08 16:45:13.446214,2025-04-07 16:45:13.446214,medium,3 pending subtasks,low,4,2025-04-04 16:45:13.446214,4
Alice,2025-05-20 16:45:13.446214,2025-05-18 16:45:13.446214,very high,1 pending subtasks,high,13,2025-05-07 16:45:13.446214,4
Heidi,2025-04-15 16:45:13.446214,2025-04-15 16:45:13.446214,very low,5 pending subtasks,very high,4,2025-04-11 16:45:13.446214,8
Charlie,2025-04-16 16:45:13.446214,2025-04-15 16:45:13.446214,very low,3 pending subtasks,very high,3,2025-04-13 16:45:13.446214,8
Grace,2025-03-27 16:45:13.446214,2025-03-25 16:45:13.446214,very low,3 pending subtasks,very high,8,2025-03-19 16:45:13.446214,3
Alice,2025-04-04 16:45:13.446214,2025-04-03 16:45:13.446214,high,4 pending subtasks,very low,13,2025-03-22 16:45:13.446214,12
Eve,2025-04-05 16:45:13.446214,2025-04-06 16:45:13.446214,medium,3 pending subtasks,very low,12,2025-03-24 16:45:13.446214,8
Bob,2025-04-15 16:45:13.446214,2025-04-16 16:45:13.446214,medium,1 pending subtasks,low,14,2025-04-01 16:45:13.446214,12
Frank,2025-04-25 16:45:13.446214,2025-04-25 16:45:13.446214,low,4 pending subtasks,high,1,2025-04-24 16:45:13.446214,6
Charlie,2025-03-21 16:45:13.446214,2025-03-20 16:45:13.446214,high,3 pending subtasks,very low,3,2025-03-18 16:45:13.446214,7
Alice,2025-04-25 16:45:13.446214,2025-04-26 16:45:13.446214,very low,3 pending subtasks,medium,10,2025-04-15 16:45:13.446214,17
Grace,2025-03-29 16:45:13.446214,2025-03-30 16:45:13.446214,very high,3 pending subtasks,high,10,2025-03-19 16:45:13.446214,2
David,2025-04-16 16:45:13.446214,2025-04-15 16:45:13.446214,very low,3 pending subtasks,medium,10,2025-04-06 16:45:13.446214,4
Frank,2025-04-04 16:45:13.446214,2025-04-03 16:45:13.446214,high,4 pending subtasks,high,14,2025-03-21 16:45:13.446214,11
Charlie,2025-04-29 16:45:13.446214,2025-04-28 16:45:13.446214,high,5 pending subtasks,medium,9,2025-04-20 16:45:13.446214,9
Bob,2025-05-06 16:45:13.446214,2025-05-06 16:45:13.446214,very low,5 pending subtasks,high,5,2025-05-01 16:45:13.446214,6
Eve,2025-05-22 16:45:13.446214,2025-05-21 16:45:13.446214,very low,3 pending subtasks,medium,10,2025-05-12 16:45:13.446214,10
Heidi,2025-03-17 16:45:13.446214,2025-03-17 16:45:13.446214,high,4 pending subtasks,low,1,2025-03-16 16:45:13.446214,12
Heidi,2025-03-29 16:45:13.446214,2025-03-28 16:45:13.446214,medium,4 pending subtasks,very high,2,2025-03-27 16:45:13.446214,9
Alice,2025-04-25 16:45:13.446214,2025-04-22 16:45:13.446214,high,5 pending subtasks,medium,14,2025-04-11 16:45:13.446214,6
Alice,2025-03-29 16:45:13.446214,2025-03-27 16:45:13.446214,very high,1 pending subtasks,high,9,2025-03-20 16:45:13.446214,5
Bob,2025-04-16 16:45:13.446214,2025-04-14 16:45:13.446214,medium,4 pending subtasks,medium,13,2025-04-03 16:45:13.446214,19
Alice,2025-03-22 16:45:13.446214,2025-03-22 16:45:13.446214,high,3 pending subtasks,medium,1,2025-03-21 16:45:13.446214,15
Bob,2025-05-10 16:45:13.446214,2025-05-10 16:45:13.446214,very high,4 pending subtasks,medium,13,2025-04-27 16:45:13.446214,11
Eve,2025-04-09 16:45:13.446214,2025-04-08 16:45:13.446214,very low,2 pending subtasks,very low,5,2025-04-04 16:45:13.446214,16
Grace,2025-05-04 16:45:13.446214,2025-05-06 16:45:13.446214,very low,3 pending subtasks,medium,13,2025-04-21 16:45:13.446214,15
David,2025-03-22 16:45:13.447213,2025-03-22 16:45:13.447213,medium,2 pending subtasks,high,3,2025-03-19 16:45:13.447213,4
Charlie,2025-05-11 16:45:13.447213,2025-05-12 16:45:13.447213,high,4 pending subtasks,low,10,2025-05-01 16:45:13.447213,3
Frank,2025-04-30 16:45:13.447213,2025-04-30 16:45:13.447213,very low,5 pending subtasks,very high,3,2025-04-27 16:45:13.447213,10
Eve,2025-04-12 16:45:13.447213,2025-04-12 16:45:13.447213,low,5 pending subtasks,medium,6,2025-04-06 16:45:13.447213,8
Bob,2025-03-30 16:45:13.447213,2025-04-01 16:45:13.447213,low,4 pending subtasks,low,13,2025-03-17 16:45:13.447213,1
Frank,2025-05-11 16:45:13.447213,2025-05-11 16:45:13.447213,medium,5 pending subtasks,high,12,2025-04-29 16:45:13.447213,5
Bob,2025-05-09 16:45:13.447213,2025-05-08 16:45:13.447213,high,5 pending subtasks,high,1,2025-05-08 16:45:13.447213,14
Grace,2025-04-27 16:45:13.447213,2025-04-28 16:45:13.447213,very low,3 pending subtasks,low,14,2025-04-13 16:45:13.447213,3
Heidi,2025-03-27 16:45:13.447213,2025-03-26 16:45:13.447213,very high,2 pending subtasks,medium,5,2025-03-22 16:45:13.447213,18
Charlie,2025-05-11 16:45:13.447213,2025-05-12 16:45:13.447213,low,5 pending subtasks,high,10,2025-05-01 16:45:13.447213,2
Bob,2025-04-22 16:45:13.447213,2025-04-22 16:45:13.447213,medium,2 pending subtasks,low,5,2025-04-17 16:45:13.447213,11
David,2025-04-08 16:45:13.447213,2025-04-07 16:45:13.447213,very high,1 pending subtasks,medium,4,2025-04-04 16:45:13.447213,9
David,2025-04-24 16:45:13.447213,2025-04-24 16:45:13.447213,very high,2 pending subtasks,medium,14,2025-04-10 16:45:13.447213,10
Bob,2025-04-18 16:45:13.447213,2025-04-18 16:45:13.447213,low,5 pending subtasks,very high,5,2025-04-13 16:45:13.447213,5
Charlie,2025-04-30 16:45:13.447213,2025-04-30 16:45:13.447213,very high,5 pending subtasks,medium,10,2025-04-20 16:45:13.447213,2
Alice,2025-05-09 16:45:13.447213,2025-05-07 16:45:13.447213,very high,2 pending subtasks,medium,6,2025-05-03 16:45:13.447213,19
Grace,2025-05-12 16:45:13.447213,2025-05-12 16:45:13.447213,very low,5 pending subtasks,high,4,2025-05-08 16:45:13.447213,10
Eve,2025-04-13 16:45:13.447213,2025-04-12 16:45:13.447213,high,4 pending subtasks,medium,4,2025-04-09 16:45:13.447213,3
Alice,2025-04-22 16:45:13.447213,2025-04-20 16:45:13.447213,high,4 pending subtasks,high,10,2025-04-12 16:45:13.447213,7
Frank,2025-03-19 16:45:13.447213,2025-03-19 16:45:13.447213,medium,3 pending subtasks,medium,3,2025-03-16 16:45:13.447213,13
Charlie,2025-03-17 16:45:13.447213,2025-03-17 16:45:13.447213,very high,1 pending subtasks,very high,1,2025-03-16 16:45:13.447213,11
David,2025-03-23 16:45:13.447213,2025-03-22 16:45:13.447213,medium,2 pending subtasks,high,5,2025-03-18 16:45:13.447213,5
Bob,2025-04-02 16:45:13.447213,2025-04-01 16:45:13.447213,high,4 pending subtasks,very high,4,2025-03-29 16:45:13.447213,8
Charlie,2025-05-05 16:45:13.447213,2025-05-06 16:45:13.447213,very high,2 pending subtasks,medium,8,2025-04-27 16:45:13.447213,6
Heidi,2025-05-04 16:45:13.447213,2025-05-05 16:45:13.447213,high,3 pending subtasks,high,7,2025-04-27 16:45:13.447213,16
Alice,2025-05-12 16:45:13.447213,2025-05-11 16:45:13.447213,high,4 pending subtasks,very high,1,2025-05-11 16:45:13.447213,8
David,2025-04-26 16:45:13.447213,2025-04-26 16:45:13.447213,very low,3 pending subtasks,very low,11,2025-04-15 16:45:13.447213,16
Heidi,2025-05-01 16:45:13.447213,2025-04-30 16:45:13.447213,very low,4 pending subtasks,very low,8,2025-04-23 16:45:13.447213,5
Eve,2025-05-03 16:45:13.447213,2025-05-03 16:45:13.447213,high,1 pending subtasks,medium,2,2025-05-01 16:45:13.447213,13
Alice,2025-04-20 16:45:13.448214,2025-04-20 16:45:13.448214,low,5 pending subtasks,medium,12,2025-04-08 16:45:13.448214,10
Bob,2025-04-11 16:45:13.448214,2025-04-10 16:45:13.448214,high,3 pending subtasks,very high,1,2025-04-10 16:45:13.448214,20
Bob,2025-04-03 16:45:13.448214,2025-04-01 16:45:13.448214,very low,3 pending subtasks,high,11,2025-03-23 16:45:13.448214,11
Frank,2025-04-18 16:45:13.448214,2025-04-19 16:45:13.448214,low,5 pending subtasks,very high,12,2025-04-06 16:45:13.448214,13
Alice,2025-05-11 16:45:13.448214,2025-05-10 16:45:13.448214,low,4 pending subtasks,medium,1,2025-05-10 16:45:13.448214,17
Heidi,2025-04-18 16:45:13.448214,2025-04-16 16:45:13.448214,very high,3 pending subtasks,low,8,2025-04-10 16:45:13.448214,20
Frank,2025-05-14 16:45:13.448214,2025-05-12 16:45:13.448214,very high,5 pending subtasks,medium,11,2025-05-03 16:45:13.448214,11
Heidi,2025-04-12 16:45:13.448214,2025-04-13 16:45:13.448214,medium,1 pending subtasks,high,13,2025-03-30 16:45:13.448214,12
Frank,2025-05-12 16:45:13.448214,2025-05-12 16:45:13.448214,high,3 pending subtasks,very high,12,2025-04-30 16:45:13.448214,1
Heidi,2025-04-26 16:45:13.448214,2025-04-24 16:45:13.448214,very high,2 pending subtasks,very high,14,2025-04-12 16:45:13.448214,2
Heidi,2025-05-24 16:45:13.448214,2025-05-22 16:45:13.448214,very high,2 pending subtasks,high,13,2025-05-11 16:45:13.448214,8
Alice,2025-03-25 16:45:13.448214,2025-03-25 16:45:13.448214,very low,1 pending subtasks,low,2,2025-03-23 16:45:13.448214,15
Frank,2025-04-15 16:45:13.448214,2025-04-14 16:45:13.448214,high,4 pending subtasks,low,7,2025-04-08 16:45:13.448214,17
Heidi,2025-05-06 16:45:13.448214,2025-05-07 16:45:13.448214,very low,5 pending subtasks,low,10,2025-04-26 16:45:13.448214,7
Frank,2025-05-18 16:45:13.448214,2025-05-20 16:45:13.448214,high,4 pending subtasks,very high,13,2025-05-05 16:45:13.448214,11
Charlie,2025-04-27 16:45:13.448214,2025-04-26 16:45:13.448214,very high,5 pending subtasks,medium,10,2025-04-17 16:45:13.448214,12
Eve,2025-05-01 16:45:13.448214,2025-05-01 16:45:13.448214,low,3 pending subtasks,low,14,2025-04-17 16:45:13.448214,18
Eve,2025-04-12 16:45:13.448214,2025-04-11 16:45:13.448214,medium,2 pending subtasks,medium,3,2025-04-09 16:45:13.448214,16
Frank,2025-04-09 16:45:13.448214,2025-04-08 16:45:13.448214,very high,3 pending subtasks,medium,7,2025-04-02 16:45:13.448214,4
Grace,2025-05-19 16:45:13.448214,2025-05-20 16:45:13.448214,high,2 pending subtasks,medium,10,2025-05-09 16:45:13.448214,10
Alice,2025-03-23 16:45:13.449226,2025-03-22 16:45:13.449226,very low,4 pending subtasks,medium,2,2025-03-21 16:45:13.449226,9
Heidi,2025-04-09 16:45:13.449226,2025-04-07 16:45:13.449226,very high,5 pending subtasks,medium,11,2025-03-29 16:45:13.449226,9
Charlie,2025-04-22 16:45:13.449226,2025-04-20 16:45:13.449226,very high,2 pending subtasks,low,8,2025-04-14 16:45:13.449226,2
David,2025-04-16 16:45:13.449226,2025-04-16 16:45:13.449226,very low,4 pending subtasks,very low,9,2025-04-07 16:45:13.449226,11
Heidi,2025-05-05 16:45:13.449226,2025-05-02 16:45:13.449226,low,5 pending subtasks,very low,13,2025-04-22 16:45:13.449226,6
Grace,2025-03-21 16:45:13.449226,2025-03-21 16:45:13.449226,high,2 pending subtasks,high,4,2025-03-17 16:45:13.449226,10
Frank,2025-05-08 16:45:13.449226,2025-05-07 16:45:13.449226,very low,5 pending subtasks,very low,5,2025-05-03 16:45:13.449226,8
Alice,2025-05-12 16:45:13.449226,2025-05-13 16:45:13.449226,low,2 pending subtasks,high,8,2025-05-04 16:45:13.449226,2
Grace,2025-04-09 16:45:13.449226,2025-04-09 16:45:13.449226,low,1 pending subtasks,medium,1,2025-04-08 16:45:13.449226,1
Eve,2025-04-12 16:45:13.449226,2025-04-12 16:45:13.449226,very low,3 pending subtasks,medium,4,2025-04-08 16:45:13.449226,15
Heidi,2025-04-26 16:45:13.449226,2025-04-26 16:45:13.449226,low,4 pending subtasks,very high,1,2025-04-25 16:45:13.449226,9
David,2025-04-12 16:45:13.449226,2025-04-12 16:45:13.449226,medium,4 pending subtasks,low,8,2025-04-04 16:45:13.449226,9
Charlie,2025-05-04 16:45:13.449226,2025-05-01 16:45:13.449226,medium,5 pending subtasks,medium,14,2025-04-20 16:45:13.449226,7
Charlie,2025-04-16 16:45:13.449226,2025-04-16 16:45:13.449226,high,5 pending subtasks,high,5,2025-04-11 16:45:13.449226,11
Bob,2025-05-02 16:45:13.449226,2025-05-01 16:45:13.449226,very low,2 pending subtasks,low,1,2025-05-01 16:45:13.449226,16
Frank,2025-04-01 16:45:13.449226,2025-04-03 16:45:13.449226,very low,4 pending subtasks,medium,13,2025-03-19 16:45:13.449226,8
Heidi,2025-04-29 16:45:13.449226,2025-04-29 16:45:13.449226,medium,5 pending subtasks,medium,9,2025-04-20 16:45:13.449226,19
Alice,2025-04-17 16:45:13.449226,2025-04-16 16:45:13.449226,medium,1 pending subtasks,low,9,2025-04-08 16:45:13.449226,4
Heidi,2025-04-14 16:45:13.449226,2025-04-13 16:45:13.449226,high,3 pending subtasks,very high,1,2025-04-13 16:45:13.449226,4
Eve,2025-04-08 16:45:13.449226,2025-04-07 16:45:13.449226,low,2 pending subtasks,low,14,2025-03-25 16:45:13.449226,16
Charlie,2025-05-02 16:45:13.449226,2025-05-01 16:45:13.449226,very high,4 pending subtasks,medium,9,2025-04-23 16:45:13.449226,18
Heidi,2025-05-04 16:45:13.449226,2025-05-05 16:45:13.449226,low,5 pending subtasks,low,13,2025-04-21 16:45:13.449226,3
Heidi,2025-03-18 16:45:13.449226,2025-03-18 16:45:13.449226,medium,5 pending subtasks,very low,3,2025-03-15 16:45:13.449226,4
Alice,2025-03-29 16:45:13.449226,2025-03-29 16:45:13.449226,very high,5 pending subtasks,low,4,2025-03-25 16:45:13.449226,18
Charlie,2025-05-14 16:45:13.449226,2025-05-12 16:45:13.449226,very high,1 pending subtasks,high,13,2025-05-01 16:45:13.449226,7
Heidi,2025-04-05 16:45:13.449226,2025-04-04 16:45:13.449226,very high,1 pending subtasks,high,3,2025-04-02 16:45:13.449226,15
Charlie,2025-05-10 16:45:13.449226,2025-05-10 16:45:13.449226,high,1 pending subtasks,very high,9,2025-05-01 16:45:13.449226,18
Heidi,2025-05-18 16:45:13.449226,2025-05-18 16:45:13.449226,medium,4 pending subtasks,very low,12,2025-05-06 16:45:13.449226,9
Alice,2025-05-03 16:45:13.449226,2025-05-03 16:45:13.449226,very high,1 pending subtasks,very low,4,2025-04-29 16:45:13.449226,14
Frank,2025-05-04 16:45:13.449226,2025-05-04 16:45:13.449226,very high,1 pending subtasks,very low,10,2025-04-24 16:45:13.449226,16
Alice,2025-04-01 16:45:13.449226,2025-03-31 16:45:13.449226,low,4 pending subtasks,low,5,2025-03-27 16:45:13.449226,12
Grace,2025-05-11 16:45:13.449226,2025-05-10 16:45:13.449226,high,1 pending subtasks,high,3,2025-05-08 16:45:13.449226,18
Charlie,2025-05-10 16:45:13.449226,2025-05-10 16:45:13.449226,medium,2 pending subtasks,very low,9,2025-05-01 16:45:13.449226,18
Grace,2025-04-02 16:45:13.449226,2025-04-02 16:45:13.449226,low,1 pending subtasks,very low,11,2025-03-22 16:45:13.449226,10
Heidi,2025-04-26 16:45:13.449226,2025-04-26 16:45:13.449226,very high,5 pending subtasks,high,4,2025-04-22 16:45:13.449226,13
David,2025-03-28 16:45:13.449226,2025-03-27 16:45:13.449226,medium,3 pending subtasks,low,7,2025-03-21 16:45:13.449226,7
Bob,2025-05-06 16:45:13.450216,2025-05-04 16:45:13.450216,high,1 pending subtasks,very high,9,2025-04-27 16:45:13.450216,8
David,2025-04-17 16:45:13.450216,2025-04-14 16:45:13.450216,very high,4 pending subtasks,very low,13,2025-04-04 16:45:13.450216,20
Alice,2025-03-31 16:45:13.450216,2025-03-29 16:45:13.450216,very low,4 pending subtasks,high,10,2025-03-21 16:45:13.450216,8
David,2025-03-23 16:45:13.450216,2025-03-23 16:45:13.450216,very low,5 pending subtasks,low,7,2025-03-16 16:45:13.450216,10
David,2025-05-09 16:45:13.450216,2025-05-10 16:45:13.450216,very high,5 pending subtasks,medium,10,2025-04-29 16:45:13.450216,20
Frank,2025-05-11 16:45:13.450216,2025-05-10 16:45:13.450216,low,2 pending subtasks,very high,3,2025-05-08 16:45:13.450216,14
Eve,2025-05-03 16:45:13.450216,2025-05-01 16:45:13.450216,very high,2 pending subtasks,very high,13,2025-04-20 16:45:13.450216,14
Heidi,2025-04-11 16:45:13.450216,2025-04-09 16:45:13.450216,medium,5 pending subtasks,high,11,2025-03-31 16:45:13.450216,11
Grace,2025-05-07 16:45:13.450216,2025-05-06 16:45:13.450216,medium,2 pending subtasks,high,12,2025-04-25 16:45:13.450216,18
Heidi,2025-05-14 16:45:13.450216,2025-05-12 16:45:13.450216,low,2 pending subtasks,medium,10,2025-05-04 16:45:13.450216,15
Alice,2025-03-28 16:45:13.450216,2025-03-28 16:45:13.450216,high,5 pending subtasks,very high,12,2025-03-16 16:45:13.450216,5
Grace,2025-05-09 16:45:13.450216,2025-05-07 16:45:13.450216,low,1 pending subtasks,medium,13,2025-04-26 16:45:13.450216,15
Frank,2025-04-12 16:45:13.450216,2025-04-10 16:45:13.450216,low,3 pending subtasks,very low,7,2025-04-05 16:45:13.450216,13
Alice,2025-04-10 16:45:13.450216,2025-04-11 16:45:13.450216,low,5 pending subtasks,very high,13,2025-03-28 16:45:13.450216,7
Heidi,2025-04-13 16:45:13.450216,2025-04-11 16:45:13.450216,medium,1 pending subtasks,medium,10,2025-04-03 16:45:13.450216,7
David,2025-05-06 16:45:13.450216,2025-05-06 16:45:13.450216,very low,2 pending subtasks,high,2,2025-05-04 16:45:13.450216,20
David,2025-04-26 16:45:13.450216,2025-04-25 16:45:13.450216,low,3 pending subtasks,very high,10,2025-04-16 16:45:13.450216,10
Grace,2025-05-16 16:45:13.450216,2025-05-15 16:45:13.450216,medium,3 pending subtasks,medium,5,2025-05-11 16:45:13.450216,12
Heidi,2025-04-19 16:45:13.450216,2025-04-18 16:45:13.450216,high,2 pending subtasks,medium,5,2025-04-14 16:45:13.450216,12
